date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume
2012-10-03 4:00:00,None,161,18,2,270,1,1,271.86,0,0,90,Snow,heavy snow,3745
2012-10-03 5:00:00,None,179,18,1,220,6,6,271.86,0,0,90,Mist,mist,3745
2012-10-03 6:00:00,None,93,18,2,250,9,9,271.86,0,0,90,Haze,haze,3745
2012-10-03 8:00:00,None,57,18,6,290,6,6,276.33,0,0,90,Rain,light rain,6519
2012-10-03 9:00:00,None,226,19,7,220,7,7,282.95,0,0,40,Clouds,scattered clouds,304
2012-10-03 12:00:00,None,86,19,5,70,1,1,272.55,0,0,1,Clear,sky is clear,571
2012-10-03 13:00:00,None,52,19,4,280,2,2,273.78,0,0,90,Mist,mist,770
2012-10-03 14:00:00,None,273,19,5,170,2,2,281.95,0,0,93,Fog,fog,1002
2012-10-03 15:00:00,None,72,19,7,10,6,6,284.29,0,0,1,Clear,sky is clear,2038
2012-10-03 16:00:00,None,254,19,5,360,5,5,285.6,0,0,75,Rain,moderate rain,2402
2012-10-03 18:00:00,None,129,19,9,320,4,4,274.52,0,0,40,Clouds,scattered clouds,3210
2012-10-03 19:00:00,None,271,19,2,0,9,9,278.96,0,0,40,Clouds,scattered clouds,3425
2012-10-03 20:00:00,None,259,19,7,350,6,6,289.1,0,0,90,Thunderstorm,proximity thunderstorm,4261
2012-10-03 21:00:00,None,61,19,6,300,4,4,275.15,0,0,90,Snow,light rain and snow,6345
2012-10-03 22:00:00,None,286,19,3,60,7,7,278.07,0,0,40,Clouds,scattered clouds,6454
2012-10-03 23:00:00,None,151,19,1,80,5,5,277.81,0,0,40,Clouds,scattered clouds,6725
2012-10-04 0:00:00,None,260,20,6,170,6,6,281.61,0,0,93,Fog,fog,542
2012-10-04 1:00:00,None,234,20,6,10,9,9,279.46,0,0,75,Rain,light rain,977
2012-10-04 2:00:00,None,162,20,5,230,4,4,275.65,0,0,1,Clear,sky is clear,1031
2012-10-04 3:00:00,None,65,20,5,350,1,1,269.95,0,0,1,Clear,sky is clear,1056
2012-10-04 4:00:00,None,18,20,7,190,8,8,278.14,0,0,1,Clear,sky is clear,1554
2012-10-04 5:00:00,None,250,20,4,180,7,7,278.26,0,0,1,Clear,sky is clear,2185
2012-10-04 6:00:00,None,173,20,7,340,7,7,287.49,0,0,90,Thunderstorm,proximity thunderstorm,2910
2012-10-04 7:00:00,None,142,20,2,210,6,6,271.77,0,0,90,Snow,heavy snow,3197
2012-10-04 8:00:00,None,90,20,5,120,5,5,280.29,0,0,1,Clear,sky is clear,4775
2012-10-04 9:00:00,None,144,20,2,60,8,8,271.9,0,0,90,Clouds,overcast clouds,4899
2012-10-04 10:00:00,None,143,20,3,0,7,7,280.82,0,0,75,Rain,light rain,6017
2012-10-04 11:00:00,None,61,20,2,65,5,5,277.51,0,0,75,Clouds,broken clouds,6073
2012-10-04 12:00:00,None,211,21,1,115,9,9,275.35,0,0,1,Clear,sky is clear,223
2012-10-04 13:00:00,None,207,21,2,100,8,8,271.22,0,0,90,Clouds,overcast clouds,335
2012-10-04 14:00:00,None,115,21,6,220,9,9,283.22,0,0,90,Clouds,overcast clouds,363
2012-10-04 15:00:00,None,253,21,1,0,1,1,277.78,0,0,90,Clouds,overcast clouds,517
2012-10-04 16:00:00,None,242,21,0,0,8,8,281.37,0,0,75,Clouds,broken clouds,531
2012-10-04 17:00:00,None,23,21,2,50,3,3,275.29,0,0,1,Clear,sky is clear,581
2012-10-04 18:00:00,None,234,21,3,230,5,5,275.9,0,0,1,Clear,sky is clear,591
2012-10-04 19:00:00,None,220,21,1,240,3,3,271.81,0,0,90,Mist,mist,2150
2012-10-04 20:00:00,None,210,21,6,200,3,3,280.88,0,0,1,Clear,sky is clear,2781
2012-10-04 21:00:00,None,174,21,7,280,5,5,273.44,0,0,40,Clouds,scattered clouds,2797
2012-10-04 22:00:00,None,58,21,3,130,2,2,278.09,0,0,40,Clouds,scattered clouds,2815
2012-10-04 23:00:00,None,142,21,5,350,6,6,282.82,0,0,57,Drizzle,light intensity drizzle,3662
2012-10-05 0:00:00,None,79,21,10,300,2,2,275.27,0,0,20,Clouds,few clouds,3912
2012-10-05 1:00:00,None,128,21,3,202,5,5,271.89,0,0,90,Mist,mist,4304
2012-10-05 3:00:00,None,148,21,3,40,5,5,278.16,0,0,20,Clouds,few clouds,4606
2012-10-05 5:00:00,None,252,21,3,50,3,3,276.77,0,0,40,Clouds,scattered clouds,5413
2012-10-05 6:00:00,None,190,21,3,200,3,3,272.6,0,0,90,Mist,mist,5652
2012-10-05 7:00:00,None,192,21,0,318,8,8,280.89,0,0,40,Clouds,scattered clouds,5709
2012-10-05 8:00:00,None,59,21,3,180,8,8,272.15,0,0,90,Snow,snow,6036
2012-10-05 9:00:00,None,190,21,1,84,6,6,280.68,0,0,1,Rain,light rain,6722
2012-10-05 10:00:00,None,134,21,6,220,2,2,281.25,0,0,99,Rain,light rain,6793
2012-10-05 11:00:00,None,240,22,1,230,6,6,280.56,0,0,75,Clouds,broken clouds,312
2012-10-05 12:00:00,None,12,22,2,280,1,1,274.88,0,0,40,Clouds,scattered clouds,327
2012-10-05 13:00:00,None,182,22,4,170,7,7,275.88,0,0,1,Clear,sky is clear,332
2012-10-05 14:00:00,None,90,22,1,115,3,3,275.55,0,0,1,Clear,sky is clear,360
2012-10-05 15:00:00,None,284,22,6,320,7,7,270.15,0,0,90,Clouds,overcast clouds,365
2012-10-05 16:00:00,None,228,22,8,230,9,9,282.75,0,0,90,Clouds,overcast clouds,387
2012-10-05 17:00:00,None,149,22,5,350,3,3,270.22,0,0,75,Clouds,broken clouds,491
2012-10-05 18:00:00,None,72,22,5,250,6,6,275.78,0,0,1,Clear,sky is clear,491
2012-10-05 19:00:00,None,36,22,4,10,6,6,270.02,0,0,1,Clear,sky is clear,526
2012-10-05 20:00:00,None,205,22,5,250,2,2,275.9,0,0,1,Clear,sky is clear,543
2012-10-05 21:00:00,None,161,22,3,256,2,2,259.38,0,0,20,Clouds,few clouds,652
2012-10-05 22:00:00,None,261,22,4,230,2,2,275.59,0,0,1,Clear,sky is clear,746
2012-10-05 23:00:00,None,257,22,2,290,6,6,273.78,0,0,90,Snow,heavy snow,770
2012-10-06 0:00:00,None,163,22,6,270,5,5,270.96,0,0,40,Clouds,scattered clouds,987
2012-10-06 1:00:00,None,219,22,2,220,9,9,275.95,0,0,1,Clear,sky is clear,1011
2012-10-06 2:00:00,None,31,22,0,0,7,7,280.8,0,0,90,Clouds,overcast clouds,1039
2012-10-06 4:00:00,None,79,22,2,0,8,8,276.49,0,0,1,Clear,sky is clear,1049
2012-10-06 5:00:00,None,28,22,5,350,7,7,281.78,0,0,1,Rain,light rain,1514
2012-10-06 6:00:00,None,110,22,6,147,3,3,273.07,0,0,1,Clear,sky is clear,1648
2012-10-06 7:00:00,None,171,22,1,0,2,2,280.93,0,0,90,Clouds,overcast clouds,1753
2012-10-06 8:00:00,None,148,22,4,110,3,3,276.22,0,0,1,Clear,sky is clear,2816
2012-10-06 9:00:00,None,97,22,4,350,9,9,287.49,0,0,90,Rain,heavy intensity rain,2910
2012-10-06 10:00:00,None,46,22,4,60,2,2,277.86,0,0,5,Clear,sky is clear,3266
2012-10-06 11:00:00,None,180,22,4,130,6,6,277.29,0,0,1,Clear,sky is clear,3727
2012-10-06 12:00:00,None,269,22,2,290,8,8,272.04,0,0,90,Snow,heavy snow,4079
2012-10-06 13:00:00,None,280,22,5,181,9,9,271.89,0,0,90,Haze,haze,4304
2012-10-06 14:00:00,None,264,22,5,340,6,6,271.89,0,0,90,Snow,light snow,4304
2012-10-06 15:00:00,None,149,22,0,0,9,9,272.08,0,0,90,Snow,heavy snow,5197
2012-10-06 16:00:00,None,77,22,3,140,4,4,277.12,0,0,90,Rain,moderate rain,5544
2012-10-06 17:00:00,None,77,22,4,180,5,5,272.6,0,0,90,Snow,heavy snow,5652
2012-10-06 18:00:00,None,178,22,3,300,4,4,273.81,0,0,90,Rain,light rain,5657
2012-10-06 19:00:00,None,114,22,8,360,5,5,262.08,0,0,40,Clouds,scattered clouds,5874
2012-10-06 20:00:00,None,67,22,2,200,7,7,272.15,0,0,90,Fog,fog,6036
2012-10-06 21:00:00,None,196,22,9,300,4,4,275.33,0,0,20,Clouds,few clouds,6121
2012-10-06 22:00:00,None,65,23,4,90,9,9,280.89,0,0,1,Clear,sky is clear,293
2012-10-06 23:00:00,None,13,23,3,320,7,7,274.29,0,0,90,Mist,mist,301
2012-10-07 0:00:00,None,294,23,6,160,4,4,281.57,0,0,85,Fog,fog,303
2012-10-07 3:00:00,None,26,23,7,210,7,7,282.75,0,0,40,Clouds,scattered clouds,585
2012-10-07 4:00:00,None,246,23,6,360,7,7,270.34,0,0,90,Clouds,overcast clouds,672
2012-10-07 5:00:00,None,259,23,5,160,4,4,278.55,0,0,90,Clouds,overcast clouds,718
2012-10-07 6:00:00,None,33,23,3,10,7,7,279.46,0,0,75,Thunderstorm,thunderstorm with light rain,977
2012-10-07 7:00:00,None,125,23,6,145,1,1,272.86,0,0,1,Clear,sky is clear,1116
2012-10-07 8:00:00,None,247,23,5,150,6,6,278.81,0,0,90,Clouds,overcast clouds,1231
2012-10-07 9:00:00,None,178,23,5,270,5,5,291.79,0.51,0,40,Thunderstorm,thunderstorm,2616
2012-10-07 10:00:00,None,297,23,1,296,8,8,291.94,0,0,90,Mist,mist,2680
2012-10-07 11:00:00,None,250,23,4,260,1,1,273.33,0,0,90,Mist,mist,2881
2012-10-07 12:00:00,None,299,23,3,70,7,7,276.56,0,0,1,Clear,sky is clear,2963
2012-10-07 13:00:00,None,260,23,3,290,9,9,272.86,0,0,90,Snow,heavy snow,2999
2012-10-07 14:00:00,None,174,23,2,290,1,1,277.75,0,0,40,Clouds,scattered clouds,3089
2012-10-07 15:00:00,None,150,23,4,11,3,3,265.78,0,0,90,Fog,fog,3945
2012-10-07 16:00:00,None,129,23,4,350,4,4,265.78,0,0,90,Haze,haze,3945
2012-10-07 17:00:00,None,170,23,6,30,2,2,271.95,0,0,90,Mist,mist,4367
2012-10-07 18:00:00,None,114,23,4,349,9,9,264.03,0,0,75,Haze,haze,4454
2012-10-07 19:00:00,None,101,23,0,0,6,6,272.4,0,0,90,Snow,heavy snow,4619
2012-10-07 20:00:00,None,213,23,4,190,8,8,278.88,0,0,1,Clear,sky is clear,4815
2012-10-07 21:00:00,None,49,23,7,350,9,9,265.55,0,0,75,Clouds,broken clouds,4837
2012-10-07 22:00:00,None,63,23,9,350,6,6,264.95,0,0,1,Clear,sky is clear,5025
2012-10-07 23:00:00,None,98,23,5,60,9,9,275.68,0,0,1,Clear,sky is clear,5086
2012-10-08 0:00:00,Columbus Day,144,23,10,300,6,6,277.27,0,0,75,Clouds,broken clouds,5177
2012-10-08 1:00:00,None,11,23,6,150,9,9,277.12,0,0,90,Rain,light rain,5544
2012-10-08 2:00:00,None,106,23,0,0,4,4,277.12,0,0,90,Snow,heavy snow,5544
2012-10-08 3:00:00,None,65,23,5,140,2,2,275.46,0,0,36,Clouds,scattered clouds,5892
2012-10-08 4:00:00,None,133,23,3,270,8,8,264.94,0,0,1,Clear,sky is clear,6031
2012-10-08 5:00:00,None,194,23,7,150,6,6,275.46,0,0,36,Clouds,scattered clouds,6530
2012-10-08 6:00:00,None,134,23,3,220,3,3,281.25,0,0,99,Drizzle,light intensity drizzle,6793
2012-10-08 7:00:00,None,273,24,3,140,3,3,279.82,0,0,20,Clouds,few clouds,242
2012-10-08 8:00:00,None,200,24,4,70,9,9,271.85,0,0,1,Clear,sky is clear,350
2012-10-08 9:00:00,None,224,24,2,150,9,9,274.15,0,0,75,Clouds,broken clouds,351
2012-10-08 10:00:00,None,230,24,5,137,7,7,271.97,0,0,1,Clear,sky is clear,353
2012-10-08 11:00:00,None,208,24,3,120,7,7,271.13,0,0,90,Snow,heavy snow,366
2012-10-08 12:00:00,None,183,24,4,150,5,5,279.75,0,0,1,Clear,sky is clear,397
2012-10-08 13:00:00,None,226,24,2,130,5,5,275.02,0,0,40,Clouds,scattered clouds,480
2012-10-08 14:00:00,None,215,24,6,340,5,5,270.42,0,0,90,Clouds,overcast clouds,522
2012-10-08 15:00:00,None,76,24,8,280,6,6,270.35,0,0,40,Clouds,scattered clouds,564
2012-10-08 16:00:00,None,183,24,5,137,7,7,272.15,0,0,1,Clear,sky is clear,572
2012-10-08 17:00:00,None,87,24,1,167,9,9,274.78,0,0,1,Rain,light rain,719
2012-10-08 18:00:00,None,51,24,1,175,6,6,273.28,0,0,1,Clear,sky is clear,764
2012-10-08 19:00:00,None,73,24,5,140,9,9,281.95,0,0,93,Mist,mist,1002
2012-10-08 20:00:00,None,208,24,7,70,3,3,273.24,0,0,1,Clear,sky is clear,1009
2012-10-08 21:00:00,None,99,24,6,250,6,6,276.35,0,0,90,Mist,mist,1010
2012-10-08 22:00:00,None,16,24,3,330,7,7,273.2,0,0,90,Snow,heavy snow,1179
2012-10-08 23:00:00,None,272,24,3,70,4,4,277.08,0,0,1,Clear,sky is clear,1674
2012-10-09 0:00:00,None,131,24,2,240,1,1,290.64,0.77,0,90,Rain,light rain,1746
2012-10-09 1:00:00,None,173,24,6,50,8,8,274.07,0,0,1,Clear,sky is clear,1751
2012-10-09 2:00:00,None,125,24,3,120,6,6,279.59,0,0,40,Clouds,scattered clouds,2190
2012-10-09 4:00:00,None,22,24,1,167,4,4,274.71,0,0,90,Rain,moderate rain,2198
2012-10-09 5:00:00,None,29,24,7,310,4,4,278.49,0,0,20,Clouds,few clouds,2277
2012-10-09 6:00:00,None,210,24,7,152,2,2,276.39,0,0,1,Clear,sky is clear,2495
2012-10-09 7:00:00,None,263,24,3,121,2,2,293.8,0,0,1,Clear,sky is clear,2569
2012-10-09 8:00:00,None,95,24,1,98,8,8,274.83,0,0,90,Rain,moderate rain,2857
2012-10-09 9:00:00,None,189,24,5,200,2,2,282.96,0,0,1,Clear,sky is clear,3100
2012-10-09 10:00:00,None,246,24,7,330,2,2,282.82,0,0,57,Mist,mist,3662
2012-10-09 11:00:00,None,70,24,4,10,8,8,265.78,0,0,90,Snow,snow,3945
2012-10-09 12:00:00,None,224,24,9,310,2,2,279.1,0,0,40,Clouds,scattered clouds,3949
2012-10-09 13:00:00,None,224,24,5,170,4,4,287.6,0.3,0,90,Mist,mist,4556
2012-10-09 14:00:00,None,99,24,5,160,7,7,287.6,0.3,0,90,Drizzle,light intensity drizzle,4556
2012-10-09 15:00:00,None,105,24,3,260,7,7,273.09,0,0,90,Snow,snow,5001
2012-10-09 16:00:00,None,70,24,2,194,7,7,278.04,0,0,20,Clouds,few clouds,5191
2012-10-09 17:00:00,None,65,24,3,10,4,4,271.88,0,0,90,Clouds,overcast clouds,5381
2012-10-09 18:00:00,None,229,24,1,160,4,4,272.6,0,0,90,Snow,snow,5652
2012-10-09 19:00:00,None,103,24,0,248,6,6,279.08,0,0,40,Clouds,scattered clouds,5669
2012-10-09 20:00:00,None,49,24,5,260,4,4,280.75,0,0,1,Clear,sky is clear,5905
2012-10-09 21:00:00,None,257,24,4,110,6,6,284.85,0,0,1,Clear,sky is clear,5917
2012-10-09 22:00:00,None,226,24,9,290,4,4,274.9,0,0,20,Clouds,few clouds,6397
2012-10-09 23:00:00,None,163,24,3,10,2,2,271.75,0,0,90,Clouds,overcast clouds,6513
2012-10-10 0:00:00,None,71,24,3,260,2,2,264.9,0,0,1,Clear,sky is clear,6684
2012-10-10 1:00:00,None,249,25,5,131,5,5,271.64,0,0,1,Clear,sky is clear,280
2012-10-10 2:00:00,None,199,25,4,150,7,7,278.59,0,0,90,Clouds,overcast clouds,545
2012-10-10 3:00:00,None,155,25,5,280,5,5,283.55,0,0,75,Drizzle,drizzle,865
2012-10-10 6:00:00,None,19,25,3,250,1,1,276.36,0,0,90,Clouds,overcast clouds,1008
2012-10-10 7:00:00,None,139,25,3,250,9,9,289.04,2.98,0,90,Rain,heavy intensity rain,1039
2012-10-10 7:00:00,None,69,25,4,160,4,4,279.06,0,0,40,Clouds,scattered clouds,1832
2012-10-10 8:00:00,None,184,25,6,151,9,9,273.48,0,0,1,Clear,sky is clear,2256
2012-10-10 8:00:00,None,82,25,4,180,4,4,279.22,0,0,40,Clouds,scattered clouds,2450
2012-10-10 9:00:00,None,248,25,1,111,1,1,275.22,0,0,90,Drizzle,drizzle,2504
2012-10-10 9:00:00,None,188,25,1,98,5,5,275.22,0,0,90,Rain,light rain,2504
2012-10-10 10:00:00,None,76,25,3,140,4,4,273.89,0,0,1,Clear,sky is clear,2703
2012-10-10 11:00:00,None,90,25,6,160,9,9,286.45,0,0,1,Clear,sky is clear,2932
2012-10-10 12:00:00,None,86,25,5,150,1,1,285.59,0,0,1,Mist,mist,3029
2012-10-10 13:00:00,None,257,25,3,236,1,1,296.69,0,0,40,Clouds,scattered clouds,3125
2012-10-10 14:00:00,None,204,25,6,320,6,6,282.33,0,0,57,Drizzle,light intensity drizzle,3370
2012-10-10 15:00:00,None,77,25,0,0,1,1,281.22,0,0,1,Clear,sky is clear,3507
2012-10-10 16:00:00,None,65,25,5,160,2,2,281.11,0,0,90,Rain,moderate rain,3780
2012-10-10 18:00:00,None,108,25,6,328,7,7,283.33,0,0,57,Mist,mist,4076
2012-10-10 19:00:00,None,279,25,6,190,3,3,270.65,0,0,90,Clouds,overcast clouds,4710
2012-10-10 20:00:00,None,85,25,2,270,6,6,280.08,0,0,75,Clouds,broken clouds,4801
2012-10-10 21:00:00,None,75,25,9,360,2,2,284.08,0,0,90,Mist,mist,4802
2012-10-10 22:00:00,None,42,25,6,190,5,5,270.82,0,0,90,Clouds,overcast clouds,4810
2012-10-10 23:00:00,None,278,25,8,320,2,2,263.9,0,0,1,Haze,haze,4930
2012-10-11 1:00:00,None,39,25,8,150,7,7,272.75,0,0,1,Clear,sky is clear,4943
2012-10-11 3:00:00,None,35,25,4,210,3,3,281.25,0,0,92,Clear,sky is clear,5875
2012-10-11 4:00:00,None,219,25,3,0,1,1,265.03,0,0,1,Clear,sky is clear,5939
2012-10-11 5:00:00,None,278,25,5,270,3,3,258.55,0,0,1,Clear,sky is clear,6007
2012-10-11 6:00:00,None,132,25,6,340,3,3,289.75,0,0,40,Clouds,scattered clouds,6645
2012-10-11 7:00:00,None,42,25,5,10,4,4,267.4,0,0,1,Clear,sky is clear,6756
2012-10-11 8:00:00,None,152,25,2,290,1,1,274.04,0,0,90,Snow,heavy snow,7062
2012-10-11 9:00:00,None,154,26,4,150,5,5,281.42,0,0,85,Fog,fog,239
2012-10-11 10:00:00,None,271,26,3,340,7,7,274.32,0,0,90,Clouds,overcast clouds,278
2012-10-11 14:00:00,None,14,26,2,140,6,6,283.67,0,0,90,Clouds,overcast clouds,319
2012-10-11 15:00:00,None,170,26,3,323,7,7,283.82,0,0,90,Mist,mist,326
2012-10-11 16:00:00,None,153,26,3,60,5,5,271.45,0,0,90,Mist,mist,351
2012-10-11 17:00:00,None,161,26,3,140,4,4,271.45,0,0,90,Snow,snow,351
2012-10-11 18:00:00,None,14,26,3,0,5,5,281.62,0,0,1,Clear,sky is clear,455
2012-10-11 19:00:00,None,204,26,5,50,9,9,268.08,0,0,75,Clouds,broken clouds,586
2012-10-11 20:00:00,None,134,26,3,200,6,6,290.63,0,0,75,Clouds,broken clouds,627
2012-10-11 21:00:00,None,85,26,1,180,3,3,282.75,0,0,90,Clouds,overcast clouds,791
2012-10-11 22:00:00,None,178,26,2,10,8,8,279.02,0,0,1,Clear,sky is clear,791
2012-10-11 23:00:00,None,226,26,3,100,7,7,286.93,0,0,1,Clear,sky is clear,806
2012-10-12 0:00:00,None,192,26,5,260,2,2,276.35,0,0,90,Haze,haze,1010
2012-10-12 1:00:00,None,122,26,4,134,6,6,285.87,0,0,1,Clear,sky is clear,1106
2012-10-12 2:00:00,None,285,26,3,170,1,1,291.12,0,0,75,Clouds,broken clouds,1166
2012-10-12 3:00:00,None,187,26,3,270,7,7,273.2,0,0,90,Fog,fog,1179
2012-10-12 4:00:00,None,134,26,3,240,2,2,273.2,0,0,90,Mist,mist,1179
2012-10-12 5:00:00,None,208,26,8,320,8,8,278.1,0,0,20,Clouds,few clouds,1277
2012-10-12 6:00:00,None,147,26,3,220,6,6,275.42,0,0,1,Clear,sky is clear,1546
2012-10-12 7:00:00,None,227,26,3,100,1,1,271.35,0,0,1,Clear,sky is clear,1789
2012-10-12 8:00:00,None,177,26,4,140,4,4,291.36,0,0,75,Clouds,broken clouds,1992
2012-10-12 9:00:00,None,143,26,2,280,3,3,282.05,0,0,75,Clouds,broken clouds,2131
2012-10-12 10:00:00,None,170,26,0,0,7,7,271.81,0,0,90,Snow,heavy snow,2150
2012-10-12 11:00:00,None,281,26,1,0,6,6,269.96,0,0,20,Clouds,few clouds,2431
2012-10-12 12:00:00,None,289,26,7,330,7,7,282.43,0,0,57,Haze,haze,2685
2012-10-12 13:00:00,None,257,26,1,180,2,2,282.62,0,0,75,Clouds,broken clouds,2769
2012-10-12 14:00:00,None,231,26,5,130,5,5,286.33,0,0,1,Clear,sky is clear,2971
2012-10-12 15:00:00,None,181,26,2,285,9,9,279.01,0,0,1,Clear,sky is clear,2979
2012-10-12 16:00:00,None,268,26,6,170,2,2,288.55,0,0,1,Clear,sky is clear,3258
2012-10-12 17:00:00,None,265,26,5,320,6,6,282.33,0,0,57,Mist,mist,3370
2012-10-12 18:00:00,None,177,26,6,327,8,8,283.33,0,0,57,Rain,light rain,4076
2012-10-12 23:00:00,None,129,26,7,156,7,7,277.08,0,0,1,Clear,sky is clear,4286
2012-10-13 0:00:00,None,28,26,6,180,7,7,287.6,0.3,0,90,Rain,light rain,4556
2012-10-13 1:00:00,None,256,26,6,330,6,6,262.68,0,0,1,Clear,sky is clear,4699
2012-10-13 2:00:00,None,214,26,6,185,4,4,271.08,0,0,90,Clouds,overcast clouds,4856
2012-10-13 3:00:00,None,76,26,10,330,6,6,275.22,0,0,90,Mist,mist,4889
2012-10-13 4:00:00,None,194,26,11,330,7,7,274.21,0,0,90,Clouds,overcast clouds,5300
2012-10-13 5:00:00,None,117,26,8,330,8,8,279.02,0,0,40,Clouds,scattered clouds,5613
2012-10-13 6:00:00,None,174,26,3,200,9,9,272.6,0,0,90,Fog,fog,5652
2012-10-13 7:00:00,None,130,26,5,130,9,9,286.06,0,0,90,Clouds,overcast clouds,6671
2012-10-13 8:00:00,None,93,27,5,220,1,1,281.09,0,0,75,Clouds,broken clouds,261
2012-10-13 9:00:00,None,270,27,3,314,7,7,282.65,0.25,0,75,Fog,fog,265
2012-10-13 10:00:00,None,116,27,5,320,7,7,274.29,0,0,90,Snow,heavy snow,301
2012-10-13 11:00:00,None,132,27,5,142,1,1,271.52,0,0,1,Clear,sky is clear,317
2012-10-13 12:00:00,None,82,27,4,20,5,5,269.65,0,0,1,Clear,sky is clear,317
2012-10-13 13:00:00,None,163,27,4,180,2,2,274.19,0,0,90,Snow,heavy snow,338
2012-10-13 14:00:00,None,298,27,5,121,8,8,284.29,0,0,1,Clear,sky is clear,398
2012-10-13 15:00:00,None,106,27,4,310,5,5,276.41,0,0,90,Clouds,overcast clouds,592
2012-10-13 16:00:00,None,287,27,5,30,8,8,269.68,0,0,1,Clear,sky is clear,817
2012-10-13 17:00:00,None,263,27,5,130,2,2,271.25,0,0,1,Clear,sky is clear,833
2012-10-13 18:00:00,None,91,27,3,140,1,1,274.53,0,0,1,Clear,sky is clear,836
2012-10-13 19:00:00,None,26,27,1,279,8,8,272.87,0,0,90,Clouds,overcast clouds,902
2012-10-13 20:00:00,None,189,27,3,260,7,7,289.04,2.98,0,90,Mist,mist,1039
2012-10-13 21:00:00,None,225,27,5,70,4,4,267.64,0,0,75,Clouds,broken clouds,1057
2012-10-13 22:00:00,None,31,27,8,320,7,7,270.21,0,0,90,Clouds,overcast clouds,1080
2012-10-13 23:00:00,None,245,27,2,47,8,8,271.95,0,0,1,Clear,sky is clear,1084
2012-10-14 0:00:00,None,220,27,4,220,8,8,273.2,0,0,90,Snow,snow,1179
2012-10-14 1:00:00,None,295,27,3,200,9,9,276.21,0,0,1,Clear,sky is clear,1368
2012-10-14 2:00:00,None,216,27,7,320,8,8,268.08,0,0,1,Clear,sky is clear,1677
2012-10-14 3:00:00,None,264,27,5,320,2,2,276.61,0,0,75,Clouds,broken clouds,2117
2012-10-14 4:00:00,None,20,27,3,312,3,3,276.01,0,0,90,Rain,light rain,2476
2012-10-14 5:00:00,None,43,27,1,0,2,2,284.27,0,0,90,Clouds,overcast clouds,2606
2012-10-14 6:00:00,None,130,27,6,300,4,4,257.34,0,0,1,Clear,sky is clear,2647
2012-10-14 7:00:00,None,245,27,2,50,1,1,274.92,0,0,1,Clear,sky is clear,2705
2012-10-14 8:00:00,None,192,27,1,356,3,3,265.49,0,0,1,Clear,sky is clear,2751
2012-10-14 9:00:00,None,87,27,3,40,3,3,267.77,0,0,90,Clouds,overcast clouds,2771
2012-10-14 9:00:00,None,132,27,3,150,3,3,274.83,0,0,90,Drizzle,light intensity drizzle,2857
2012-10-14 9:00:00,None,285,27,6,280,2,2,273.33,0,0,90,Snow,heavy snow,2881
2012-10-14 10:00:00,None,217,27,4,110,5,5,291.66,0,0,1,Haze,haze,2915
2012-10-14 10:00:00,None,195,27,4,160,9,9,279.65,0,0,75,Clouds,broken clouds,2971
2012-10-14 11:00:00,None,26,27,2,0,7,7,285.14,0,0,1,Clear,sky is clear,2999
2012-10-14 11:00:00,None,299,27,5,252,9,9,287.9,0,0,92,Rain,moderate rain,3115
